UF,COD_UF,COD_AREA,COD_IBGE,CIDADE,CAPITAL,PRESTADORA,TCN_2G,TCN_3G,TCN_4G,TCN_5G
Roraima,14,95,1400050,Alto Alegre,NÃO,CLARO,1,1,1,null
Paraná,41,46,4124806,São João,NÃO,VIVO,1,1,1,null
Paraíba,25,83,2505303,Curral Velho,NÃO,TIM,null,1,1,null
Paraná,41,44,4127304,Terra Rica,NÃO,VIVO,1,1,1,null
Minas Gerais,31,31,3171303,Viçosa,NÃO,TIM,11,6,11,null
Minas Gerais,31,35,3139003,Machado,NÃO,VIVO,3,6,6,1
Ceará,23,88,2304251,Cruz,NÃO,BRISANET,null,null,1,1
Minas Gerais,31,32,3156452,Rosário da Limeira,NÃO,VIVO,null,1,1,null
Minas Gerais,31,37,3161205,São Francisco de Paula,NÃO,VIVO,null,1,1,null
Bahia,29,75,2902203,Aramari,NÃO,TIM,1,1,1,null
Minas Gerais,31,31,3168705,Timóteo,NÃO,VIVO,4,5,6,3
São Paulo,35,18,3548054,Santo Antônio do Aracanguá,NÃO,VIVO,2,3,6,null
São Paulo,35,12,3538006,Pindamonhangaba,NÃO,VIVO,18,33,38,9
Bahia,29,73,2921104,Medeiros Neto,NÃO,TIM,null,5,4,null
Goiás,52,62,5205521,Colinas do Sul,NÃO,VIVO,1,1,1,null
São Paulo,35,17,3551900,Severínia,NÃO,VIVO,1,1,1,null
Rio Grande do Sul,43,54,4304903,Casca,NÃO,TIM,3,2,4,null
Rio Grande do Norte,24,84,2409902,Pendências,NÃO,CLARO,null,1,1,null
São Paulo,35,19,3521408,Iracemápolis,NÃO,TIM,2,2,3,null
Santa Catarina,42,49,4211751,Otacílio Costa,NÃO,TIM,1,1,1,1
São Paulo,35,13,3529906,Miracatu,NÃO,TIM,12,8,8,null
Minas Gerais,31,35,3147600,Passa Quatro,NÃO,CLARO,1,1,1,null
Paraíba,25,83,2503308,Cachoeira dos Índios,NÃO,VIVO,null,1,1,null
Santa Catarina,42,47,4213203,Pomerode,NÃO,TIM,3,5,4,2
São Paulo,35,17,3530409,Mirassolândia,NÃO,CLARO,1,1,1,null
Goiás,52,62,5216908,Pilar de Goiás,NÃO,TIM,null,1,1,null
Bahia,29,74,2902609,Baixa Grande,NÃO,TIM,2,3,4,null
Minas Gerais,31,31,3127206,Funilândia,NÃO,VIVO,null,1,1,null
Maranhão,21,98,2110500,São Bento,NÃO,VIVO,3,4,7,null
Minas Gerais,31,32,3167301,Silveirânia,NÃO,TIM,null,null,1,null
São Paulo,35,19,3530805,Mogi Mirim,NÃO,CLARO,7,16,16,null
Tocantins,17,63,1720937,Taipas do Tocantins,NÃO,TIM,null,null,1,null
Rio Grande do Sul,43,54,4320305,Selbach,NÃO,CLARO,2,1,2,null
São Paulo,35,19,3530904,Mombuca,NÃO,VIVO,1,1,1,null
Ceará,23,88,2313708,Umari,NÃO,VIVO,1,2,2,null
Bahia,29,77,2914109,Ipupiara,NÃO,CLARO,1,1,1,null
Goiás,52,62,5214879,Nova Iguaçu de Goiás,NÃO,TIM,1,1,1,null
Rio Grande do Norte,24,84,2406502,Lagoa Nova,NÃO,CLARO,null,1,null,null
Minas Gerais,31,35,3114600,Carrancas,NÃO,VIVO,1,1,2,null
Maranhão,21,98,2108603,Pinheiro,NÃO,BRISANET,null,null,2,2
Minas Gerais,31,32,3102902,Antônio Carlos,NÃO,CLARO,2,1,2,null
Goiás,52,62,5206800,Damolândia,NÃO,TIM,null,null,1,null
Paraná,41,42,4122008,Rio Azul,NÃO,VIVO,2,1,1,null
Acre,12,68,1200013,Acrelândia,NÃO,VIVO,2,2,2,null
Rio Grande do Sul,43,51,4313409,Novo Hamburgo,NÃO,TIM,16,22,48,7
Ceará,23,88,2313401,Tianguá,NÃO,VIVO,2,5,4,1
Minas Gerais,31,31,3133907,Itaverava,NÃO,TIM,null,1,1,null
Paraná,41,44,4110003,Iguaraçu,NÃO,CLARO,4,3,4,null
Alagoas,27,82,2701704,Capela,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,55,4315107,Porto Xavier,NÃO,TIM,1,1,1,null
Minas Gerais,31,35,3109105,Bueno Brandão,NÃO,VIVO,1,1,1,null
Minas Gerais,31,35,3133006,Itamonte,NÃO,CLARO,1,1,1,null
Ceará,23,88,2310506,Pedra Branca,NÃO,VIVO,1,4,4,null
Paraná,41,44,4116505,Nova Aliança do Ivaí,NÃO,VIVO,1,1,1,null
Bahia,29,75,2929701,Sátiro Dias,NÃO,TIM,1,1,2,null
Alagoas,27,82,2708709,São Miguel dos Milagres,NÃO,TIM,1,1,3,1
Maranhão,21,98,2103125,Central do Maranhão,NÃO,TIM,1,1,1,null
Maranhão,21,98,2105104,Icatu,NÃO,VIVO,2,3,2,null
Mato Grosso,51,65,5107206,Rio Branco,NÃO,VIVO,null,1,1,null
São Paulo,35,18,3518206,Guararapes,NÃO,TIM,2,1,1,null
Rio Grande do Sul,43,51,4320008,Sapucaia do Sul,NÃO,CLARO,7,11,11,1
Ceará,23,88,2304277,Ereré,NÃO,BRISANET,null,null,2,2
Minas Gerais,31,35,3167806,Soledade de Minas,NÃO,TIM,1,1,1,null
Pará,15,94,1506708,Santana do Araguaia,NÃO,CLARO,1,2,2,null
Tocantins,17,63,1718451,Pugmil,NÃO,CLARO,1,1,1,null
Espírito Santo,32,27,3200805,Baixo Guandu,NÃO,VIVO,3,8,8,4
Paraná,41,42,4117305,Ortigueira,NÃO,CLARO,5,5,6,null
Minas Gerais,31,35,3112000,Candeias,NÃO,TIM,1,1,2,null
São Paulo,35,16,3553104,Taiaçu,NÃO,CLARO,1,1,1,null
Minas Gerais,31,34,3131406,Ipiaçu,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,54,4305116,Centenário,NÃO,VIVO,1,1,1,null
Minas Gerais,31,32,3162906,São João Nepomuceno,NÃO,TIM,2,2,2,null
Paraná,41,44,4105508,Cianorte,NÃO,CLARO,9,11,11,null
Bahia,29,71,2927408,Salvador,SIM,TIM,311,235,418,404
Rio Grande do Sul,43,53,4318804,São Lourenço do Sul,NÃO,CLARO,5,5,5,null
Rio Grande do Sul,43,51,4300638,Amaral Ferrador,NÃO,VIVO,1,1,1,null
Alagoas,27,82,2705705,Olho d'Água das Flores,NÃO,TIM,2,2,2,null
São Paulo,35,16,3547601,Santa Rosa de Viterbo,NÃO,CLARO,3,3,3,null
Minas Gerais,31,31,3118304,Conselheiro Lafaiete,NÃO,CLARO,13,15,21,1
Rondônia,11,69,1101476,Primavera de Rondônia,NÃO,CLARO,1,1,1,null
Minas Gerais,31,31,3168705,Timóteo,NÃO,CLARO,9,7,10,null
São Paulo,35,14,3529005,Marília,NÃO,TIM,28,15,18,4
Pernambuco,26,81,2608503,Lagoa de Itaenga,NÃO,TIM,1,1,1,null
Minas Gerais,31,31,3148756,Pedra Bonita,NÃO,TIM,null,null,1,null
Santa Catarina,42,47,4209102,Joinville,NÃO,TIM,49,65,82,75
Goiás,52,62,5200829,Amaralina,NÃO,VIVO,null,1,1,null
Rio Grande do Norte,24,84,2403806,Florânia,NÃO,VIVO,null,1,1,null
Ceará,23,88,2310951,Pires Ferreira,NÃO,VIVO,null,2,2,null
Amazonas,13,97,1302108,Japurá,NÃO,CLARO,1,1,1,null
Minas Gerais,31,33,3148509,Pavão,NÃO,VIVO,null,null,1,null
Goiás,52,64,5217401,Pires do Rio,NÃO,CLARO,3,3,3,1
Mato Grosso do Sul,50,67,5003306,Coxim,NÃO,TIM,1,null,2,null
Goiás,52,62,5218300,Posse,NÃO,TIM,1,1,1,null
Paraíba,25,83,2504702,Congo,NÃO,CLARO,null,1,1,null
Bahia,29,73,2920908,Mascote,NÃO,VIVO,null,1,1,null
Espírito Santo,32,27,3205002,Serra,NÃO,CLARO,43,59,72,67
Mato Grosso,51,66,5102694,Canabrava do Norte,NÃO,TIM,1,1,1,null
Pernambuco,26,81,2602704,Buenos Aires,NÃO,TIM,1,1,1,null
Santa Catarina,42,49,4207759,Iraceminha,NÃO,TIM,1,2,2,null
São Paulo,35,18,3547106,Santa Mercedes,NÃO,VIVO,2,2,2,null
Santa Catarina,42,49,4213104,Piratuba,NÃO,VIVO,3,null,1,null
São Paulo,35,13,3548500,Santos,NÃO,VIVO,49,75,83,35
Paraíba,25,83,2501807,Bayeux,NÃO,BRISANET,null,null,2,2
Mato Grosso,51,66,5102702,Canarana,NÃO,VIVO,2,2,4,null
São Paulo,35,12,3538006,Pindamonhangaba,NÃO,CLARO,17,27,27,1
Espírito Santo,32,28,3202553,Ibitirama,NÃO,TIM,3,3,2,null
Pará,15,93,1508050,Trairão,NÃO,VIVO,1,1,null,null
Rio Grande do Norte,24,84,2410405,Pureza,NÃO,TIM,null,null,1,null
Paraná,41,45,4126355,Serranópolis do Iguaçu,NÃO,VIVO,1,1,1,null
Rio Grande do Norte,24,84,2403103,Currais Novos,NÃO,BRISANET,null,null,6,4
Piauí,22,89,2210391,São Miguel do Fidalgo,NÃO,TIM,null,null,1,null
Santa Catarina,42,47,4202404,Blumenau,NÃO,TIM,38,43,87,17
São Paulo,35,14,3541802,Queiroz,NÃO,VIVO,1,1,1,null
São Paulo,35,14,3557204,Chavantes,NÃO,TIM,2,2,1,null
Minas Gerais,31,37,3122306,Divinópolis,NÃO,ALGAR,null,31,29,null
Maranhão,21,98,2102903,Carutapera,NÃO,CLARO,2,2,2,null
Bahia,29,74,2919603,Macajuba,NÃO,VIVO,1,2,2,null
Rio Grande do Sul,43,51,4315701,Rio Pardo,NÃO,CLARO,5,6,6,null
São Paulo,35,17,3513850,Dirce Reis,NÃO,TIM,null,1,1,null
Minas Gerais,31,31,3106408,Belo Vale,NÃO,CLARO,3,2,4,null
Minas Gerais,31,34,3162104,São Gotardo,NÃO,TIM,5,1,2,null
São Paulo,35,17,3535903,Paranapuã,NÃO,TIM,2,1,1,null
Minas Gerais,31,38,3116506,Claro dos Poções,NÃO,TIM,null,2,2,null
São Paulo,35,17,3532603,Nhandeara,NÃO,CLARO,2,2,2,null
Alagoas,27,82,2709202,Traipu,NÃO,TIM,1,2,3,null
Goiás,52,64,5221809,Urutaí,NÃO,TIM,null,null,2,null
Ceará,23,88,2313104,Tabuleiro do Norte,NÃO,VIVO,3,4,4,null
Goiás,52,62,5203807,Britânia,NÃO,CLARO,1,1,1,null
Minas Gerais,31,31,3117876,Confins,NÃO,VIVO,3,4,3,2
Bahia,29,77,2926400,Riacho de Santana,NÃO,VIVO,1,1,1,null
Minas Gerais,31,34,3128907,Guimarânia,NÃO,TIM,1,1,1,null
Ceará,23,88,2312304,São Benedito,NÃO,TIM,1,1,3,1
Paraíba,25,83,2512507,Queimadas,NÃO,TIM,2,2,2,null
Rio Grande do Sul,43,55,4311130,Jari,NÃO,TIM,1,1,1,null
Goiás,52,64,5217104,Piracanjuba,NÃO,TIM,1,null,1,null
Rondônia,11,69,1101302,Mirante da Serra,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,54,4308904,Getúlio Vargas,NÃO,VIVO,2,1,2,null
São Paulo,35,18,3510005,Cândido Mota,NÃO,TIM,7,2,2,null
Rio Grande do Sul,43,51,4305447,Chuvisca,NÃO,TIM,1,3,3,null
São Paulo,35,12,3542305,Redenção da Serra,NÃO,VIVO,2,2,3,null
Rio de Janeiro,33,21,3302700,Maricá,NÃO,VIVO,14,29,34,17
Bahia,29,77,2904209,Botuporã,NÃO,CLARO,1,1,1,null
São Paulo,35,16,3506706,Boa Esperança do Sul,NÃO,TIM,3,3,8,null
Bahia,29,75,2904902,Cachoeira,NÃO,VIVO,null,1,1,null
Amazonas,13,92,1304302,Urucará,NÃO,TIM,null,null,1,null
Santa Catarina,42,48,4201950,Balneário Arroio do Silva,NÃO,VIVO,1,2,2,null
Goiás,52,62,5213509,Monte Alegre de Goiás,NÃO,VIVO,1,null,1,null
Minas Gerais,31,32,3151107,Pirapetinga,NÃO,CLARO,1,1,1,null
Bahia,29,75,2931905,Tucano,NÃO,VIVO,1,1,1,null
Maranhão,21,98,2101970,Boa Vista do Gurupi,NÃO,VIVO,2,1,4,null
São Paulo,35,16,3548906,São Carlos,NÃO,TIM,14,14,43,12
Minas Gerais,31,32,3112109,Caparaó,NÃO,VIVO,null,1,1,null
Santa Catarina,42,49,4205555,Frei Rogério,NÃO,CLARO,1,1,1,null
Minas Gerais,31,32,3165701,Senador Firmino,NÃO,TIM,null,null,1,null
Mato Grosso,51,66,5107578,Rondolândia,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,55,4318432,São João do Polêsine,NÃO,CLARO,1,null,1,null
Piauí,22,89,2207405,Palmeira do Piauí,NÃO,VIVO,1,1,1,null
São Paulo,35,14,3527801,Lupércio,NÃO,CLARO,1,1,1,null
Bahia,29,77,2908804,Contendas do Sincorá,NÃO,TIM,1,1,1,null
São Paulo,35,11,3503901,Arujá,NÃO,VIVO,8,17,17,4
São Paulo,35,18,3541406,Presidente Prudente,NÃO,TIM,37,19,38,10
Paraíba,25,83,2509057,Marcação,NÃO,VIVO,null,1,1,null
São Paulo,35,16,3540903,Pradópolis,NÃO,CLARO,2,2,2,null
Bahia,29,73,2913606,Ilhéus,NÃO,CLARO,19,28,26,null
Bahia,29,75,2932101,Ubaíra,NÃO,TIM,2,2,2,null
Maranhão,21,98,2107506,Paço do Lumiar,NÃO,TIM,6,7,10,4
Goiás,52,61,5221858,Valparaíso de Goiás,NÃO,VIVO,5,8,23,10
Mato Grosso,51,65,5105622,Mirassol d'Oeste,NÃO,TIM,1,null,1,null
Mato Grosso,51,65,5107875,Sapezal,NÃO,CLARO,1,13,13,null
Minas Gerais,31,35,3101300,Alagoa,NÃO,VIVO,1,1,1,null
Rio Grande do Sul,43,54,4306452,Dois Lajeados,NÃO,TIM,1,1,2,null
Pará,15,94,1503804,Jacundá,NÃO,VIVO,2,4,4,null
Paraná,41,46,4115408,Marmeleiro,NÃO,VIVO,1,1,1,null
São Paulo,35,11,3516309,Francisco Morato,NÃO,TIM,3,5,17,4
Minas Gerais,31,31,3140308,Marliéria,NÃO,VIVO,null,2,2,null
Maranhão,21,98,2112704,Vargem Grande,NÃO,VIVO,4,5,8,null
Minas Gerais,31,33,3125606,Felisburgo,NÃO,CLARO,1,1,1,null
Minas Gerais,31,32,3104601,Astolfo Dutra,NÃO,TIM,1,1,1,null
Rio Grande do Sul,43,51,4319356,São Pedro da Serra,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,51,4312153,Mato Leitão,NÃO,CLARO,1,1,1,null
Goiás,52,62,5209457,Guarinos,NÃO,CLARO,1,null,1,null
Santa Catarina,42,47,4218202,Timbó,NÃO,TIM,3,5,5,2
Bahia,29,73,2928059,Santa Luzia,NÃO,CLARO,1,1,1,null
Paraíba,25,83,2501906,Belém,NÃO,TIM,3,3,1,null
Bahia,29,75,2930501,Serrinha,NÃO,TIM,7,5,7,3
Maranhão,21,98,2101103,Axixá,NÃO,CLARO,1,1,1,null
São Paulo,35,18,3552551,Suzanápolis,NÃO,VIVO,1,1,1,null
Rio Grande do Sul,43,55,4302378,Bom Progresso,NÃO,TIM,1,1,1,null
Goiás,52,62,5209200,Guapó,NÃO,VIVO,2,2,2,null
Ceará,23,85,2304954,Guaiúba,NÃO,CLARO,1,1,1,null
Ceará,23,85,2304400,Fortaleza,SIM,VIVO,438,545,612,376
Bahia,29,73,2923001,Nova Viçosa,NÃO,VIVO,5,6,7,4
Bahia,29,77,2909109,Coribe,NÃO,CLARO,1,2,1,null
Bahia,29,75,2919306,Lençóis,NÃO,TIM,1,1,1,null
Minas Gerais,31,34,3129509,Ibiá,NÃO,TIM,8,1,5,null
Espírito Santo,32,27,3203205,Linhares,NÃO,CLARO,14,15,17,null
Santa Catarina,42,49,4213005,Pinheiro Preto,NÃO,CLARO,1,null,1,null
Santa Catarina,42,48,4220000,Balneário Rincão,NÃO,TIM,1,1,2,null
Santa Catarina,42,47,4208906,Jaraguá do Sul,NÃO,UNIFIQUE TELECOMUNICACOES S/A,null,null,5,5
Minas Gerais,31,38,3109451,Cabeceira Grande,NÃO,TIM,null,null,1,null
Pernambuco,26,87,2612208,Salgueiro,NÃO,TIM,2,2,2,null
Maranhão,21,98,2101350,Bacurituba,NÃO,CLARO,1,1,1,null
Piauí,22,89,2210953,Tamboril do Piauí,NÃO,TIM,null,1,1,null
Pará,15,91,1502608,Colares,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,51,4310801,Ivoti,NÃO,TIM,2,2,2,null
Pernambuco,26,81,2608909,Limoeiro,NÃO,BRISANET,null,null,2,null
Tocantins,17,63,1702554,Augustinópolis,NÃO,VIVO,1,1,1,null
São Paulo,35,11,3502754,Araçariguama,NÃO,TIM,3,3,3,null
Pernambuco,26,81,2600054,Abreu e Lima,NÃO,VIVO,11,15,11,7
Santa Catarina,42,49,4219150,Vargem,NÃO,VIVO,null,1,1,null
Minas Gerais,31,37,3141306,Medeiros,NÃO,CLARO,1,1,1,null
Piauí,22,89,2210607,São Raimundo Nonato,NÃO,VIVO,1,6,7,null
Pará,15,91,1506104,Primavera,NÃO,CLARO,null,1,1,null
Rondônia,11,69,1101203,Ministro Andreazza,NÃO,CLARO,null,1,1,null
Paraná,41,44,4112751,Jesuítas,NÃO,VIVO,1,1,1,null
Minas Gerais,31,38,3135605,Jequitaí,NÃO,VIVO,2,2,2,null
Espírito Santo,32,27,3200607,Aracruz,NÃO,VIVO,15,28,40,27
Santa Catarina,42,49,4208005,Itá,NÃO,CLARO,2,1,2,null
São Paulo,35,18,3509106,Caiuá,NÃO,CLARO,2,1,2,null
Bahia,29,77,2903508,Belo Campo,NÃO,TIM,null,null,2,null
Paraíba,25,83,2517407,Zabelê,NÃO,VIVO,null,1,1,null
Rio Grande do Sul,43,51,4304630,Capão da Canoa,NÃO,CLARO,9,11,13,8
Pernambuco,26,87,2609808,Orocó,NÃO,CLARO,1,1,1,null
Espírito Santo,32,27,3204252,Ponto Belo,NÃO,TIM,1,1,1,null
Goiás,52,61,5217609,Planaltina,NÃO,VIVO,5,6,6,4
Goiás,52,62,5208301,Divinópolis de Goiás,NÃO,VIVO,1,1,2,null
Paraná,41,46,4119004,Pérola d'Oeste,NÃO,CLARO,1,1,1,null
São Paulo,35,12,3531704,Monteiro Lobato,NÃO,CLARO,5,3,5,null
Goiás,52,64,5203104,Baliza,NÃO,VIVO,1,1,1,null
Rio Grande do Sul,43,51,4301909,Barra do Ribeiro,NÃO,TIM,4,3,5,null
Rio Grande do Sul,43,54,4313086,Nova Pádua,NÃO,TIM,1,1,1,null
Minas Gerais,31,37,3145604,Oliveira,NÃO,VIVO,7,9,9,3
Goiás,52,62,5208905,Goiás,NÃO,VIVO,2,2,2,null
Minas Gerais,31,31,3112505,Capim Branco,NÃO,TIM,2,2,2,null
Rio Grande do Sul,43,55,4307450,Esperança do Sul,NÃO,VIVO,1,1,1,null
São Paulo,35,17,3557105,Votuporanga,NÃO,CLARO,7,7,7,null
Pará,15,94,1500347,Água Azul do Norte,NÃO,VIVO,1,1,2,null
Rio de Janeiro,33,24,3302908,Miguel Pereira,NÃO,VIVO,1,3,4,null
Santa Catarina,42,49,4204178,Cerro Negro,NÃO,CLARO,1,1,1,null
Mato Grosso,51,65,5107156,Reserva do Cabaçal,NÃO,VIVO,1,null,1,null
Santa Catarina,42,48,4218707,Tubarão,NÃO,VIVO,7,9,12,7
Pernambuco,26,81,2600401,Água Preta,NÃO,BRISANET,null,null,2,null
Minas Gerais,31,35,3120805,Cruzília,NÃO,VIVO,2,2,2,null
Pará,15,91,1505809,Portel,NÃO,TIM,3,3,4,null
Maranhão,21,99,2109551,Ribamar Fiquene,NÃO,CLARO,1,1,1,null
Minas Gerais,31,31,3136207,João Monlevade,NÃO,CLARO,10,10,11,null
Minas Gerais,31,33,3141801,Minas Novas,NÃO,CLARO,null,2,2,null
Alagoas,27,82,2707206,Poço das Trincheiras,NÃO,VIVO,1,1,1,null
Minas Gerais,31,35,3141900,Minduri,NÃO,CLARO,null,1,1,null
Rio de Janeiro,33,24,3306107,Valença,NÃO,TIM,5,4,8,null
Paraíba,25,83,2507309,Jacaraú,NÃO,CLARO,null,1,null,null
São Paulo,35,16,3543600,Rifaina,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,51,4321709,Três Coroas,NÃO,VIVO,4,4,6,null
São Paulo,35,15,3557006,Votorantim,NÃO,TIM,14,14,8,6
Minas Gerais,31,32,3141603,Mercês,NÃO,VIVO,1,1,1,null
Bahia,29,77,2926657,Ribeirão do Largo,NÃO,TIM,1,1,2,null
Minas Gerais,31,34,3159704,Santa Rosa da Serra,NÃO,VIVO,null,1,1,null
Pará,15,94,1501782,Breu Branco,NÃO,VIVO,3,5,8,null
Rondônia,11,69,1100056,Cerejeiras,NÃO,CLARO,2,2,2,null
Rio de Janeiro,33,22,3300902,Cambuci,NÃO,VIVO,2,2,2,null
Ceará,23,85,2306306,Itapajé,NÃO,BRISANET,null,null,4,4
Minas Gerais,31,35,3121209,Delfinópolis,NÃO,CLARO,1,1,1,null
Paraná,41,42,4117305,Ortigueira,NÃO,TIM,4,5,5,2
Goiás,52,62,5204706,Campinorte,NÃO,TIM,1,2,4,null
Rio Grande do Sul,43,54,4303608,Cambará do Sul,NÃO,VIVO,1,2,2,null
Piauí,22,89,2208700,Redenção do Gurguéia,NÃO,VIVO,2,2,2,null
Santa Catarina,42,47,4217808,Taió,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,51,4311981,Mariana Pimentel,NÃO,CLARO,1,1,1,null
São Paulo,35,18,3537156,Pedrinhas Paulista,NÃO,CLARO,1,1,1,null
Ceará,23,85,2301950,Barreira,NÃO,VIVO,2,4,5,null
Rio Grande do Sul,43,54,4308300,Fontoura Xavier,NÃO,VIVO,1,1,1,null
São Paulo,35,14,3502309,Anhembi,NÃO,TIM,3,3,3,null
Rio Grande do Sul,43,55,4317905,Santo Cristo,NÃO,VIVO,1,1,1,null
Sergipe,28,79,2805109,Pedrinhas,NÃO,VIVO,1,1,1,null
Roraima,14,95,1400175,Cantá,NÃO,TIM,1,2,1,null
Rio Grande do Sul,43,51,4305447,Chuvisca,NÃO,VIVO,1,2,2,null
Pernambuco,26,87,2601201,Arcoverde,NÃO,CLARO,7,7,8,null
São Paulo,35,15,3511607,Cesário Lange,NÃO,TIM,3,1,6,3
Minas Gerais,31,34,3150703,Pirajuba,NÃO,ALGAR,1,1,1,null
Maranhão,21,98,2112274,Tufilândia,NÃO,CLARO,1,1,1,null
Minas Gerais,31,35,3147600,Passa Quatro,NÃO,TIM,2,1,2,null
Rio Grande do Norte,24,84,2404853,Itajá,NÃO,TIM,1,2,1,null
Rio Grande do Sul,43,54,4314001,Paraí,NÃO,TIM,1,null,1,null
Minas Gerais,31,34,3114303,Carmo do Paranaíba,NÃO,ALGAR,5,4,3,1
Minas Gerais,31,33,3167608,Simonésia,NÃO,VIVO,null,3,3,null
Espírito Santo,32,28,3201407,Castelo,NÃO,VIVO,6,9,13,6
São Paulo,35,17,3501202,Álvares Florence,NÃO,TIM,1,1,1,null
Bahia,29,71,2919207,Lauro de Freitas,NÃO,CLARO,20,29,30,12
Maranhão,21,98,2112605,Urbano Santos,NÃO,VIVO,2,2,1,null
Goiás,52,64,5213806,Morrinhos,NÃO,TIM,2,4,4,null
Paraíba,25,83,2513943,São Domingos do Cariri,NÃO,VIVO,1,2,1,null
Paraíba,25,83,2506608,Ibiara,NÃO,TIM,1,null,1,1
Rondônia,11,69,1100452,Buritis,NÃO,TIM,2,null,2,1
Alagoas,27,82,2700805,Belém,NÃO,CLARO,2,2,2,null
Rio Grande do Sul,43,51,4314902,Porto Alegre,SIM,TIM,158,192,319,193
Rio Grande do Norte,24,84,2401107,Areia Branca,NÃO,VIVO,2,2,1,null
Goiás,52,62,5215207,Novo Brasil,NÃO,CLARO,1,null,1,null
Minas Gerais,31,32,3162906,São João Nepomuceno,NÃO,CLARO,2,2,2,null
Rondônia,11,69,1100205,Porto Velho,SIM,TIM,29,39,66,71
São Paulo,35,17,3520707,Indiaporã,NÃO,VIVO,1,1,2,null
Rio de Janeiro,33,24,3303955,Pinheiral,NÃO,VIVO,2,4,5,null
Rio de Janeiro,33,22,3302452,Macuco,NÃO,CLARO,2,1,2,null
Santa Catarina,42,47,4212809,Balneário Piçarras,NÃO,VIVO,6,3,6,2
Piauí,22,86,2202083,Cajueiro da Praia,NÃO,VIVO,1,1,3,null
Rio Grande do Sul,43,54,4305959,Cotiporã,NÃO,TIM,1,null,1,1
São Paulo,35,13,3513504,Cubatão,NÃO,CLARO,16,24,26,2
Piauí,22,89,2202778,Colônia do Piauí,NÃO,TIM,null,1,1,null
Pará,15,91,1504000,Limoeiro do Ajuru,NÃO,CLARO,1,1,1,null
Paraíba,25,83,2515807,Serra Redonda,NÃO,VIVO,1,2,1,null
Minas Gerais,31,35,3169109,Toledo,NÃO,TIM,null,2,1,null
Minas Gerais,31,32,3166204,Senhora dos Remédios,NÃO,VIVO,null,3,3,null
Amazonas,13,97,1300029,Alvarães,NÃO,CLARO,1,1,1,null
Paraná,41,44,4128807,Xambrê,NÃO,VIVO,null,1,1,null
São Paulo,35,16,3542909,Ribeirão Bonito,NÃO,CLARO,1,1,1,null
Bahia,29,71,2927408,Salvador,SIM,VIVO,147,306,375,360
Pará,15,91,1506302,Salvaterra,NÃO,CLARO,3,2,3,null
Rio Grande do Sul,43,55,4306429,Dois Irmãos das Missões,NÃO,TIM,null,null,2,null
São Paulo,35,19,3515186,Espírito Santo do Pinhal,NÃO,VIVO,3,5,5,3
Santa Catarina,42,47,4207908,Irineópolis,NÃO,CLARO,2,1,2,null
Piauí,22,89,2210631,Sebastião Leal,NÃO,VIVO,null,1,1,null
Rio Grande do Norte,24,84,2409407,Pau dos Ferros,NÃO,CLARO,2,2,2,null
Bahia,29,73,2911006,Floresta Azul,NÃO,TIM,null,3,2,null
Rio Grande do Norte,24,84,2407252,Major Sales,NÃO,VIVO,1,1,1,null
Minas Gerais,31,32,3103603,Arantina,NÃO,CLARO,1,1,1,null
Paraná,41,42,4110706,Irati,NÃO,TIM,3,11,11,4
Minas Gerais,31,33,3132701,Itambacuri,NÃO,CLARO,1,1,1,null
São Paulo,35,14,3542503,Reginópolis,NÃO,VIVO,1,1,1,null
Rio Grande do Sul,43,54,4312138,Mato Castelhano,NÃO,TIM,2,null,2,null
Rio Grande do Sul,43,51,4323770,Westfália,NÃO,CLARO,1,1,1,null
Pernambuco,26,87,2608800,Lajedo,NÃO,TIM,4,4,4,null
Mato Grosso,51,66,5103379,Cotriguaçu,NÃO,CLARO,1,1,1,null
Minas Gerais,31,33,3100906,Águas Formosas,NÃO,VIVO,null,2,2,null
Minas Gerais,31,34,3151602,Planura,NÃO,ALGAR,null,1,1,null
Pará,15,91,1504950,Nova Esperança do Piriá,NÃO,TIM,null,null,3,null
Rio Grande do Norte,24,84,2413607,Severiano Melo,NÃO,BRISANET,null,null,2,1
Goiás,52,62,5209291,Guaraíta,NÃO,TIM,1,1,1,null
Santa Catarina,42,49,4218251,Timbó Grande,NÃO,CLARO,1,1,1,null
Minas Gerais,31,34,3123502,Douradoquara,NÃO,CLARO,1,1,1,null
Paraná,41,42,4119301,Pinhão,NÃO,VIVO,1,2,5,null
Minas Gerais,31,34,3142809,Monte Alegre de Minas,NÃO,CLARO,5,1,5,null
Pará,15,91,1502202,Capanema,NÃO,VIVO,1,5,5,4
Paraíba,25,83,2503902,Camalaú,NÃO,VIVO,null,1,1,null
Bahia,29,75,2922730,Nova Fátima,NÃO,TIM,null,null,1,null
Maranhão,21,99,2104008,Esperantinópolis,NÃO,CLARO,1,1,1,null
Paraná,41,45,4105003,Catanduvas,NÃO,TIM,1,1,2,null
